Name,Longitude ,Latitude
Te Kao School,172.965947,-34.654712
Taipa Area School,173.464301,-34.994709
Kaitaia College,173.2587,-35.121322
Whangaroa College,173.786949,-35.100861
Kerikeri High School,173.955388,-35.228353
Broadwood Area School,173.39499,-35.261247
Okaihau College,173.765763,-35.323759
Bay of Islands College,174.075901,-35.379502
Northland College,173.809917,-35.413888
Te Kura Taumata o Panguru,173.383067,-35.380527
Opononi Area School,173.390212,-35.528555
Tauraroa Area School,174.218168,-35.873068
Kamo High School,174.302812,-35.684393
Tikipunga High School,174.328316,-35.683558
Whangarei Boys' High School,174.318379,-35.716116
Whangarei Girls' High School,174.31955,-35.713288
Pompallier Catholic College,174.275713,-35.744863
Mangakahia Area School,174.058779,-35.732278
Dargaville High School,173.868056,-35.931691
Bream Bay College,174.455784,-35.876078
Otamatea High School,174.365259,-36.11723
Ruawai College,174.011673,-36.12257
Rodney College,174.520831,-36.28816
Mahurangi College,174.655544,-36.406517
Orewa College,174.689747,-36.591698
Kaipara College,174.459138,-36.680156
Long Bay College,174.738757,-36.691395
Rangitoto College,174.736683,-36.737197
Kristin School,174.692243,-36.742989
Glenfield College,174.714953,-36.779801
Birkenhead College,174.701151,-36.799174
Northcote College,174.733677,-36.808881
Hato Petera College,174.753142,-36.797973
Carmel College,174.756741,-36.779176
Takapuna Grammar School,174.788477,-36.800616
Westlake Boys' High School,174.749491,-36.777366
Westlake Girls' High School,174.752309,-36.782458
Rosmini College,174.760145,-36.792442
Rutherford College,174.646309,-36.85259
Macleans College,174.914423,-36.882722
Green Bay High School,174.669394,-36.930949
Massey High School,174.601692,-36.84188
Waitakere College,174.620711,-36.867097
Henderson High School,174.628205,-36.883656
Liston College,174.623159,-36.866064
St Dominic's Catholic College (Henderson),174.621071,-36.868858
Western Springs College,174.717534,-36.861976
Selwyn College,174.838551,-36.86233
St Mary's College (Ponsonby),174.748234,-36.846003
St Paul's College (Ponsonby),174.737789,-36.854456
Tyndale Park Christian School,174.922239,-36.974546
Auckland Girls' Grammar School,174.75365,-36.857019
Auckland Grammar,174.76885,-36.869414
Tamaki College,174.867271,-36.877942
Tangaroa College,174.892909,-36.972904
Sacred Heart College (Auckland),174.872413,-36.868894
Saint Kentigern Girls' School,174.805238,-36.880973
Baradene College,174.800324,-36.865643
St Peter's College (Epsom),174.769672,-36.867787
Marcellin College,174.766435,-36.91013
Epsom Girls Grammar School,174.774123,-36.876429
Glendowie College,174.868137,-36.862578
Dilworth School,174.781062,-36.880302
Diocesan School For Girls,174.778296,-36.880477
St Cuthbert's College (Epsom),174.77825,-36.887581
Mt Albert Grammar School,174.725348,-36.884707
Marist College,174.726132,-36.881938
Hebron Christian College (Auckland),174.711189,-36.888608
Mt Roskill Grammar,174.747139,-36.912708
Lynfield College,174.715436,-36.921035
Bethlehem College,176.11123,-37.704974
Avondale College,174.691137,-36.891482
Edgewater College,174.874745,-36.922506
Pakuranga College,174.90177,-36.897629
St Kentigern College (Pakuranga),174.875034,-36.909712
Aidanfield Christian School,172.571,-43.563771
Kelston Boys' High School,174.666886,-36.898785
Kelston Girls' College,174.664361,-36.908063
One Tree Hill College,174.806959,-36.902825
Onehunga High School,174.770962,-36.919501
Howick College,174.939278,-36.90657
Otahuhu College,174.840645,-36.953117
Kings College,174.837266,-36.959802
McAuley High School,174.847352,-36.944408
Mangere College,174.791588,-36.959618
Auckland Seventh-Day Adventist H S,174.785002,-36.956393
De La Salle College,174.837763,-36.964806
Papatoetoe High School,174.871805,-36.975523
Aorere College,174.83308,-36.981416
Sir Edmund Hillary Collegiate Senior School,174.87553,-36.951275
Manurewa High School,174.882302,-37.011253
James Cook High School,174.885978,-37.03498
Papakura High School,174.9508,-37.062945
Rosehill College,174.936559,-37.076585
Pukekohe High School,174.905825,-37.204551
Wesley College,174.890163,-37.148293
Waiuku College,174.725723,-37.251019
Tuakau College,174.93426,-37.263023
Onewhero Area School,174.916276,-37.332158
Coromandel Area School,175.500031,-36.759265
Mercury Bay Area School,175.698102,-36.841247
Thames High School,175.544879,-37.139546
Hauraki Plains College,175.498679,-37.276618
Paeroa College,175.669281,-37.385436
Waihi College,175.83115,-37.386212
Te Kauwhata College,175.149295,-37.400589
Te Aroha College,175.693304,-37.541904
Katikati College,175.921779,-37.552923
Mt Maunganui College,176.207104,-37.662775
Huntly College,175.15226,-37.562095
Otumoetai College,176.129106,-37.678754
Tauranga Boys' College,176.156215,-37.702139
Tauranga Girls' College,176.144959,-37.712366
Te Puke High School,176.318221,-37.788258
Matamata College,175.770384,-37.816276
Raglan Area School,174.866613,-37.807418
Morrinsville College,175.534068,-37.650833
Ngaruawahia High School,175.158665,-37.660039
Fairfield College,175.276551,-37.76172
St Paul's Collegiate (Hamilton),175.282195,-37.759246
Hamilton Boys' High School,175.294802,-37.784988
Hamilton Girls' High School,175.277353,-37.789061
Raphael House Rudolf Steiner Area School,174.907713,-41.196227
Flaxmere College,176.788804,-39.623996
Fraser High School,175.244737,-37.784283
St John's College (Hillcrest),175.317501,-37.791339
Melville High School,175.280739,-37.816917
Hillcrest High School,175.326289,-37.793282
Sacred Heart Girls' College (Ham),175.29528,-37.791585
Waikato Diocesan School For Girls,175.267808,-37.764497
St Peter's School (Cambridge),175.428898,-37.890555
Cambridge High School,175.470878,-37.878116
Trident High School,176.975956,-37.973481
Whakatane High School,176.985794,-37.962394
Edgecumbe College,176.827536,-37.967933
Te Awamutu College,175.314937,-38.006315
Opotiki College,177.288103,-38.013132
Western Heights High School,176.221187,-38.119568
Rotorua Boys' High School,176.237476,-38.13727
Rotorua Girls' High School,176.238385,-38.147856
Rotorua Lakes High School,176.30233,-38.136755
Otorohanga College,175.206036,-38.179869
Tokoroa High School,175.861524,-38.226207
Forest View High School,175.842947,-38.220079
Te Kuiti High School,175.154846,-38.332231
Benneydale School,175.369182,-38.521675
Piopio College,175.014155,-38.472652
Reporoa College,176.344112,-38.437349
Tauhara College,176.104928,-38.697481
Taupo-nui-a-Tia College,176.078756,-38.681065
Taumarunui High School,175.248127,-38.863298
Waitara High School,174.245055,-38.996615
New Plymouth Boys' High School,174.086318,-39.061546
New Plymouth Girls' High School,174.09477,-39.054795
Spotswood College,174.036087,-39.071205
Sacred Heart Girls' College (N Plymouth),174.102286,-39.052621
Francis Douglas Memorial College,174.053406,-39.081129
Ohura Valley Primary,174.984709,-38.844333
Inglewood High School,174.18992,-39.156656
Stratford High School,174.29667,-39.339665
St Mary's Diocesan School (Stratford),174.281297,-39.331771
Opunake High School,173.851541,-39.450639
Hawera High School,174.275269,-39.58516
Ruapehu College,175.412796,-39.41725
Patea Area School,174.481481,-39.76142
Whanganui City College,175.046397,-39.931369
Whanganui Girls' College,175.055092,-39.919787
Whanganui High School,175.034543,-39.934054
